player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID
DB Ravi Teja,375.0,325.0,20.0,115.38461538461536,1.0,28.0,18.0,3.0,9.333333333333334,Player_145
DE Bollinger,21.0,23.0,1.0,91.30434782608695,43.0,716.0,600.0,100.0,7.16,Player_146
DG Nalkande,0.0,0.0,0.0,0.0,2.0,59.0,33.0,5.5,10.727272727272728,Player_147
DH Yagnik,170.0,142.0,9.0,119.71830985915491,0.0,0.0,0.0,0.0,0.0,Player_148
DJ Bravo,1560.0,1247.0,69.0,125.10024057738572,207.0,4436.0,3296.0,549.3333333333334,8.075242718446601,Player_149
DJ Harris,111.0,103.0,3.0,107.76699029126212,0.0,26.0,18.0,3.0,8.666666666666666,Player_150
DJ Hooda,1237.0,970.0,58.0,127.52577319587628,10.0,505.0,359.0,59.833333333333336,8.440111420612814,Player_151
DJ Hussey,1322.0,1101.0,49.0,120.07266121707538,10.0,485.0,323.0,53.833333333333336,9.009287925696594,Player_152
DJ Jacobs,92.0,101.0,7.0,91.0891089108911,0.0,0.0,0.0,0.0,0.0,Player_153
DJ Malan,26.0,26.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Player_154
DJ Mitchell,33.0,46.0,2.0,71.73913043478261,0.0,27.0,13.0,2.1666666666666665,12.461538461538462,Player_155
DJ Muthuswami,1.0,3.0,1.0,33.33333333333333,4.0,108.0,84.0,14.0,7.714285714285714,Player_156
DJ Thornely,39.0,54.0,3.0,72.22222222222221,3.0,40.0,44.0,7.333333333333333,5.454545454545455,Player_157
DJ Willey,18.0,32.0,3.0,56.25,3.0,171.0,127.0,21.166666666666668,8.078740157480315,Player_158
DJG Sammy,295.0,251.0,15.0,117.52988047808766,14.0,354.0,244.0,40.66666666666666,8.704918032786885,Player_159
DJM Short,115.0,102.0,7.0,112.74509803921568,1.0,23.0,18.0,3.0,7.666666666666667,Player_160
DL Chahar,79.0,59.0,7.0,133.89830508474577,61.0,1739.0,1385.0,230.83333333333331,7.533574007220216,Player_161
DL Vettori,121.0,118.0,7.0,102.54237288135592,34.0,894.0,785.0,130.83333333333334,6.83312101910828,Player_162
DM Bravo,6.0,5.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,Player_163
DNT Zoysa,11.0,9.0,1.0,122.22222222222224,2.0,100.0,69.0,11.5,8.695652173913043,Player_164
DP Conway,252.0,176.0,6.0,143.1818181818182,0.0,0.0,0.0,0.0,0.0,Player_165
DP Nannes,4.0,13.0,1.0,30.76923076923077,38.0,815.0,689.0,114.83333333333331,7.097242380261249,Player_166
